System,3wrobotNI
Controller,LQR
dt,0.1
state_init,[-1.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[75, 50, 25, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.8
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-1.0,-3.0,1.57,587.50978,58.750978,-0.22000000000000003,-0.284
0.0011,-1.0001999478407637,-3.0000001847690716,1.5697418854166667,587.5195702760599,117.50293502760599,-0.22000000000000003,-0.284
0.00904258838649641,-1.0019473127545184,-3.0000039980302313,1.5674861903149018,587.6061846457667,176.26355349218267,-0.22000000000000003,-0.284
0.05904258838649641,-1.01294662430663,-3.000118506501168,1.5532861903149018,588.1948471551793,235.0830382077006,-0.22000000000000003,-0.284
